ï..customerID,Cust_ID,Gender,DOB,Age,SeniorCitizen,Dependents,Partner,Tenure,Mobile_Service,Dual_Sim,Internet_Mode,VOD_Streaming,Plan,PaymentMethod,Per_Month_Charge,Var_Charge,TotalCharges,Churn
1066-JKSGK,XX25,Male,2/19/1984,35,0,No,No,30,Yes,No,No,No internet service,Month-to-month,Mailed check,214,71,285,Yes
3638-WEABW,GG56,Female,5/15/1967,52,0,No,Yes,16,Yes,Yes,DSL,No,Two year,Credit card (automatic),899,83,982,No
6322-HRPFA,ZE22,Male,3/1/1989,30,0,Yes,Yes,27,Yes,No,DSL,No,Month-to-month,Credit card (automatic),293,78,371,No
6865-JZNKO,AN94,Female,11/14/1998,20,0,No,No,28,Yes,No,DSL,No,Month-to-month,Bank transfer (automatic),438,95,533,No
6467-CHFZW,LZ49,Male,1/15/1973,46,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,537,50,587,Yes
8665-UTDHZ,SU50,Male,10/5/1970,48,0,Yes,Yes,2,No,No phone service,DSL,No,Month-to-month,Electronic check,392,77,469,Yes
5248-YGIJN,LO66,Male,6/14/1994,25,0,No,Yes,32,Yes,Yes,DSL,Yes,Two year,Credit card (automatic),571,62,633,No
8773-HHUOZ,DL22,Female,11/17/1969,49,0,Yes,No,10,Yes,No,DSL,Yes,Month-to-month,Mailed check,781,82,863,Yes
3841-NFECX,QA53,Female,2/13/1958,61,1,No,Yes,26,Yes,Yes,Fiber optic,No,Two year,Credit card (automatic),778,55,833,No
4929-XIHVW,VM12,Male,5/3/1955,64,1,No,Yes,36,Yes,No,Fiber optic,Yes,Month-to-month,Credit card (automatic),629,100,729,No
6827-IEAUQ,KS16,Female,2/16/1970,49,0,Yes,Yes,13,Yes,No,DSL,No,One year,Mailed check,650,86,736,No
7310-EGVHZ,VL37,Male,2/11/1961,58,0,No,No,8,Yes,No,No,No internet service,Month-to-month,Bank transfer (automatic),903,79,982,No
3413-BMNZE,WU73,Male,9/30/1957,61,1,No,No,15,Yes,No,DSL,No,Month-to-month,Bank transfer (automatic),635,74,709,No
6234-RAAPL,NM97,Female,5/14/1958,61,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Two year,Bank transfer (automatic),547,93,640,No
6047-YHPVI,TO29,Male,5/16/1966,53,0,No,No,19,Yes,No,Fiber optic,No,Month-to-month,Electronic check,997,74,1071,Yes
6572-ADKRS,JM58,Female,6/20/1970,48,0,No,No,13,Yes,No,Fiber optic,No,Month-to-month,Credit card (automatic),234,82,NA,No
5380-WJKOV,WO39,Male,3/30/1984,35,0,No,No,23,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,603,54,657,Yes
8168-UQWWF,AQ92,Female,11/16/1977,41,0,No,No,7,Yes,Yes,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),492,88,580,Yes
8865-TNMNX,NS12,Male,10/18/1987,31,0,Yes,Yes,17,Yes,No,DSL,No,One year,Mailed check,558,77,635,No
9489-DEDVP,XY30,Female,2/3/1961,58,0,Yes,Yes,7,Yes,Yes,DSL,No,Two year,Credit card (automatic),884,80,964,No
9867-JCZSP,EE59,Female,5/6/1992,27,0,Yes,Yes,13,Yes,No,No,No internet service,One year,Mailed check,959,66,1025,No
4671-VJLCL,NN40,Female,5/9/1991,28,0,No,No,5,Yes,Yes,DSL,No,Two year,Credit card (automatic),940,58,998,No
4080-IIARD,NU96,Female,12/9/1955,63,0,No,Yes,22,Yes,Yes,DSL,No,Month-to-month,Electronic check,772,80,852,No
3714-NTNFO,GF97,Female,8/29/1998,20,0,No,No,11,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,839,71,910,No
5948-UJZLF,OS18,Male,10/16/1955,63,0,No,No,7,Yes,No,DSL,No,Month-to-month,Mailed check,402,85,487,No
7760-OYPDY,XH63,Female,8/3/1960,58,0,No,No,28,Yes,No,Fiber optic,No,Month-to-month,Electronic check,520,59,579,Yes
7639-LIAYI,EF25,Male,7/12/1979,39,0,No,No,38,Yes,Yes,DSL,Yes,Two year,Credit card (automatic),501,57,558,No
2954-PIBKO,EE31,Female,6/15/1985,34,0,Yes,Yes,21,Yes,Yes,DSL,No,Two year,Credit card (automatic),685,98,783,No
8012-SOUDQ,TS25,Female,3/15/1956,63,1,No,No,16,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,754,97,851,No
9420-LOJKX,UP78,Female,9/2/1968,50,0,No,No,27,Yes,No,Fiber optic,Yes,Month-to-month,Credit card (automatic),885,98,983,Yes
6575-SUVOI,FY56,Female,1/27/1957,62,1,No,Yes,8,Yes,Yes,DSL,No,Month-to-month,Credit card (automatic),668,84,752,No
7495-OOKFY,YK48,Female,7/13/1957,61,1,No,Yes,2,Yes,Yes,Fiber optic,No,Month-to-month,Credit card (automatic),315,54,369,Yes
4667-QONEA,OE45,Female,6/12/1957,62,1,Yes,Yes,2,Yes,No,DSL,Yes,One year,Credit card (automatic),672,66,738,No
1658-BYGOY,JD45,Male,8/14/1957,61,1,No,No,34,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,852,67,919,Yes
8769-KKTPH,YR15,Female,10/11/1985,33,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,One year,Credit card (automatic),409,62,471,No
5067-XJQFU,OH74,Male,1/8/1956,63,1,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,One year,Electronic check,669,89,758,No
3957-SQXML,FU16,Female,1/28/1987,32,0,Yes,Yes,23,Yes,Yes,No,No internet service,Two year,Credit card (automatic),815,61,876,No
5954-BDFSG,CU87,Female,1/21/1971,48,0,No,No,16,Yes,Yes,Fiber optic,Yes,Two year,Credit card (automatic),483,99,582,No
0434-CSFON,JI91,Female,2/12/1966,53,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,646,98,744,No
1215-FIGMP,IO18,Male,9/17/1956,62,0,No,No,13,Yes,Yes,Fiber optic,No,Month-to-month,Bank transfer (automatic),408,64,472,No
0526-SXDJP,KM71,Male,8/6/1983,35,0,No,Yes,33,No,No phone service,DSL,No,Two year,Bank transfer (automatic),807,52,859,No
0557-ASKVU,BG50,Female,1/6/1959,60,0,Yes,Yes,33,Yes,No,DSL,No,One year,Credit card (automatic),790,72,862,No
5698-BQJOH,NS90,Female,4/10/1991,28,0,No,No,16,NA,Yes,Fiber optic,Yes,Month-to-month,Electronic check,542,61,603,Yes
5122-CYFXA,NP35,Female,2/7/1992,27,0,No,No,7,Yes,No,DSL,Yes,Month-to-month,Electronic check,914,68,NA,No
8627-ZYGSZ,BQ75,Male,2/16/1960,59,0,No,Yes,40,Yes,Yes,Fiber optic,No,One year,Electronic check,401,90,491,No
3410-YOQBQ,NX26,Female,12/7/1994,24,0,No,No,9,Yes,No,DSL,Yes,Two year,Mailed check,790,62,852,No
3170-NMYVV,CL71,Female,12/20/1961,57,0,Yes,Yes,6,Yes,No,No,No internet service,Two year,Bank transfer (automatic),479,92,571,No
7410-OIEDU,HM36,Male,3/9/1981,38,0,No,No,12,Yes,No,Fiber optic,No,Month-to-month,Mailed check,852,98,950,No
2273-QCKXA,EQ11,Male,12/12/1986,32,0,No,No,8,Yes,No,DSL,No,Month-to-month,Mailed check,682,65,747,No
0731-EBJQB,LG92,Female,7/7/1978,40,0,Yes,Yes,21,Yes,No,No,No internet service,One year,Electronic check,480,62,542,No
1891-QRQSA,NS97,Male,4/13/1958,61,1,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Two year,Bank transfer (automatic),746,88,834,No
8028-PNXHQ,LS28,Male,7/22/1979,39,0,Yes,Yes,19,Yes,Yes,No,No internet service,Two year,Bank transfer (automatic),327,91,418,No
5630-AHZIL,GP37,Female,6/19/1983,35,0,Yes,No,1,Yes,No,DSL,Yes,Month-to-month,Bank transfer (automatic),225,57,282,No
2673-CXQEU,BT81,Female,3/19/1958,61,1,No,No,30,Yes,Yes,Fiber optic,Yes,One year,Electronic check,593,56,649,No
6416-JNVRK,OO36,Female,10/9/1970,48,0,No,No,21,Yes,No,DSL,Yes,One year,Credit card (automatic),853,51,904,No
5590-ZSKRV,UY27,Female,10/15/1982,36,0,Yes,Yes,17,Yes,No,DSL,No,Month-to-month,Mailed check,996,51,1047,No
0191-ZHSKZ,MW60,Male,12/28/1957,61,1,No,No,29,Yes,No,DSL,Yes,Month-to-month,Electronic check,859,85,944,No
3887-PBQAO,UA27,Female,3/18/1982,37,0,Yes,Yes,32,Yes,Yes,No,No internet service,One year,Credit card (automatic),861,66,927,No
5919-TMRGD,WC97,Female,7/3/1962,56,0,Yes,No,6,Yes,No,Fiber optic,No,Month-to-month,Electronic check,740,68,808,Yes
8108-UXRQN,JB81,Female,5/5/1973,46,0,Yes,Yes,34,No,No phone service,DSL,Yes,Month-to-month,Electronic check,241,77,318,No
9191-MYQKX,YK40,Female,8/25/1972,46,0,No,Yes,24,Yes,No,Fiber optic,No,Month-to-month,Bank transfer (automatic),429,85,514,Yes
9919-YLNNG,MN23,Female,9/19/1971,47,0,No,No,24,Yes,No,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),494,53,547,No
0318-ZOPWS,YK22,Female,2/9/1973,46,0,No,Yes,33,Yes,No,No,No internet service,Two year,Bank transfer (automatic),844,67,911,No
4445-ZJNMU,HY90,Male,7/4/1987,31,0,No,No,31,Yes,Yes,Fiber optic,Yes,Month-to-month,Credit card (automatic),764,84,848,No
4808-YNLEU,KW55,Female,5/26/1960,59,0,No,Yes,4,Yes,No,DSL,No,One year,Bank transfer (automatic),520,83,603,No
1862-QRWPE,GZ70,Female,4/5/1963,56,0,Yes,Yes,12,Yes,No,No,No internet service,Two year,Bank transfer (automatic),573,67,640,No
2796-NNUFI,IQ65,Female,7/17/1971,47,0,Yes,Yes,26,Yes,No,No,No internet service,Two year,Mailed check,456,52,508,No
3016-KSVCP,RX77,Male,7/20/1961,57,0,No,Yes,31,No,No phone service,DSL,No,Month-to-month,Mailed check,532,55,587,No
4767-HZZHQ,UV90,Male,10/7/1968,50,0,Yes,Yes,39,Yes,No,Fiber optic,No,Month-to-month,Bank transfer (automatic),413,93,506,No
2424-WVHPL,QV59,Male,1/31/1957,62,1,No,No,38,Yes,No,Fiber optic,No,Month-to-month,Electronic check,215,53,268,No
7233-PAHHL,RV50,Male,9/8/1988,30,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Two year,Mailed check,383,64,447,No
6067-NGCEU,BK45,Female,5/28/1973,46,0,No,No,32,Yes,Yes,Fiber optic,Yes,Month-to-month,Credit card (automatic),638,75,713,No
9848-JQJTX,BK89,Male,1/23/1996,23,0,No,No,27,Yes,Yes,Fiber optic,Yes,Two year,Bank transfer (automatic),870,87,957,No
8637-XJIVR,QC87,Female,3/13/1976,43,0,No,No,20,NA,Yes,Fiber optic,No,Month-to-month,Electronic check,780,79,859,Yes
9803-FTJCG,NU75,Male,1/25/1962,57,0,Yes,Yes,9,Yes,Yes,DSL,No,One year,Credit card (automatic),353,86,439,No
0278-YXOOG,LF66,Male,3/29/1986,33,0,No,No,4,Yes,No,No,No internet service,Month-to-month,Mailed check,288,95,383,Yes
3212-KXOCR,GE53,Male,3/1/1991,28,0,No,No,16,Yes,No,No,No internet service,Two year,Bank transfer (automatic),977,91,1068,No
4598-XLKNJ,YK10,Female,8/25/1957,61,1,No,Yes,16,Yes,No,Fiber optic,Yes,Month-to-month,Electronic check,750,54,804,Yes
6380-ARCEH,YU29,Male,3/1/1964,55,0,No,No,21,Yes,No,No,No internet service,Month-to-month,Mailed check,717,70,787,No
3679-XASPY,EF40,Female,10/24/1971,47,0,Yes,Yes,22,Yes,No,No,No internet service,Month-to-month,Electronic check,274,76,350,No
7123-WQUHX,JN81,Male,2/15/1996,23,0,No,No,19,Yes,Yes,Fiber optic,No,One year,Bank transfer (automatic),293,64,357,No
5386-THSLQ,RL16,Female,1/30/1956,63,1,No,Yes,21,No,No phone service,DSL,No,One year,Bank transfer (automatic),945,71,NA,No
3192-NQECA,UV30,Male,8/27/1994,24,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,Two year,Bank transfer (automatic),498,86,584,Yes
6180-YBIQI,MH78,Male,5/12/1957,62,0,No,No,24,No,No phone service,DSL,No,Month-to-month,Mailed check,914,86,1000,No
6728-DKUCO,JW69,Female,11/23/1965,53,0,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,One year,Electronic check,928,79,1007,No
9750-BOOHV,OX57,Female,4/21/1981,38,0,No,No,11,No,No phone service,DSL,No,One year,Mailed check,586,51,637,No
8597-CWYHH,JI19,Male,11/20/1988,30,0,No,No,22,Yes,Yes,Fiber optic,Yes,One year,Mailed check,288,62,350,No
2848-YXSMW,CF69,Male,12/26/1980,38,0,Yes,Yes,30,Yes,No,No,No internet service,Two year,Credit card (automatic),710,72,782,No
0486-HECZI,MQ97,Male,11/14/1955,63,0,No,Yes,39,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,699,96,795,Yes
4549-ZDQYY,BH78,Female,4/19/1988,31,0,No,No,16,Yes,No,DSL,No,One year,Credit card (automatic),729,68,797,No
5712-AHQNN,PZ81,Female,1/20/1976,43,0,No,No,18,Yes,No,Fiber optic,No,Month-to-month,Electronic check,709,84,793,No
4846-WHAFZ,VJ57,Female,1/29/1957,62,1,No,Yes,39,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,640,75,715,Yes
5256-SKJGO,ZF40,Female,11/24/1981,37,0,Yes,Yes,6,No,No phone service,DSL,Yes,Two year,Electronic check,431,63,494,No
3071-VBYPO,IL34,Male,6/13/1978,41,0,Yes,Yes,17,Yes,No,Fiber optic,No,Month-to-month,Electronic check,796,58,854,No
9560-BBZXK,ME14,Female,11/12/1972,46,0,No,No,38,No,No phone service,DSL,No,Two year,Bank transfer (automatic),723,80,803,No
5299-RULOA,OM90,Female,11/15/1987,31,0,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,747,90,837,Yes
8402-OOOHJ,KE60,Female,8/31/1999,19,0,No,No,17,Yes,No,No,No internet service,Two year,Mailed check,800,86,886,No
9445-ZUEQE,VF29,Male,10/26/1981,37,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Month-to-month,Credit card (automatic),861,87,948,No
1091-SOZGA,VZ87,Female,4/13/1964,55,0,Yes,Yes,25,Yes,Yes,Fiber optic,Yes,One year,Credit card (automatic),333,81,414,No
2928-HLDBA,TO19,Female,4/21/1980,39,0,No,No,14,Yes,No,No,No internet service,Month-to-month,Mailed check,486,87,573,No
0404-SWRVG,FT40,Male,7/15/1997,21,0,No,No,31,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,700,60,760,Yes
6497-TILVL,AZ56,Female,3/30/1973,46,0,Yes,Yes,28,Yes,No,DSL,No,Month-to-month,Mailed check,323,83,406,No
7219-TLZHO,FM50,Female,9/10/1965,53,0,Yes,Yes,35,Yes,No,No,No internet service,Month-to-month,Mailed check,820,56,876,No
4622-YNKIJ,SJ92,Male,10/3/1977,41,0,No,No,36,Yes,No,Fiber optic,No,Two year,Electronic check,462,66,528,No
4412-YLTKF,AS57,Female,1/26/1958,61,1,No,No,38,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,824,54,878,Yes
6734-PSBAW,RH69,Male,11/26/1976,42,0,No,Yes,25,NA,Yes,No,No internet service,Two year,Bank transfer (automatic),490,50,540,No
3930-ZGWVE,NJ40,Male,5/12/1960,59,0,No,No,2,Yes,No,No,No internet service,Month-to-month,Mailed check,946,93,1039,No
2639-UGMAZ,JB57,Male,12/8/1955,63,1,No,No,2,No,No phone service,DSL,Yes,One year,Electronic check,861,65,926,No
2876-GZYZC,JY53,Female,3/1/1983,36,0,No,No,19,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,653,50,703,No
6207-WIOLX,SA93,Female,12/7/1982,36,0,Yes,Yes,35,No,No phone service,DSL,Yes,Month-to-month,Credit card (automatic),352,56,408,Yes
8587-XYZSF,FN75,Male,8/5/1983,35,0,No,No,21,Yes,No,DSL,No,Two year,Bank transfer (automatic),704,72,776,No
3091-FYHKI,IO72,Male,12/10/1959,59,0,No,No,7,No,No phone service,DSL,Yes,Month-to-month,Electronic check,469,94,563,Yes
2372-HWUHI,TS57,Male,1/19/1966,53,0,No,No,10,Yes,No,DSL,No,Month-to-month,Electronic check,399,70,469,Yes
7799-LGRDP,BG36,Female,6/5/1991,28,0,No,No,5,Yes,Yes,No,No internet service,Two year,Credit card (automatic),450,74,524,No
7850-VWJUU,KI61,Female,2/18/1989,30,0,No,No,16,Yes,No,Fiber optic,No,Month-to-month,Bank transfer (automatic),348,52,400,No
3774-VBNXY,RI97,Female,8/12/1967,51,0,Yes,Yes,28,Yes,No,No,No internet service,Two year,Mailed check,711,77,788,No
6217-KDYWC,LR37,Male,7/30/1987,31,0,Yes,No,12,Yes,No,No,No internet service,Two year,Mailed check,279,86,365,No
0390-DCFDQ,VD59,Female,7/9/1957,61,1,No,Yes,9,Yes,No,Fiber optic,No,Month-to-month,Mailed check,543,59,602,Yes
3146-MSEGF,FN83,Female,10/16/1958,60,1,Yes,Yes,7,Yes,Yes,DSL,Yes,Two year,Credit card (automatic),335,73,408,No
4080-OGPJL,MZ42,Female,4/9/1998,21,0,No,No,3,Yes,Yes,DSL,Yes,Month-to-month,Electronic check,811,65,876,Yes
1095-WGNGG,CE38,Female,7/6/1970,48,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,Two year,Bank transfer (automatic),473,89,562,No
2636-SJDOU,ZX26,Male,11/17/1962,56,0,No,No,37,Yes,Yes,Fiber optic,No,One year,Credit card (automatic),454,83,537,No
1131-QQZEB,KM31,Male,2/26/1958,61,1,No,Yes,25,Yes,Yes,No,No internet service,Two year,Bank transfer (automatic),473,92,565,No
5716-EZXZN,PZ46,Female,10/8/1989,29,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,Two year,Credit card (automatic),799,91,890,No
6837-BJYDQ,VE97,Male,6/10/1955,64,0,No,No,26,Yes,No,No,No internet service,One year,Mailed check,640,81,721,No
2135-RXIHG,MT80,Male,4/1/1974,45,0,No,No,18,Yes,No,DSL,No,Month-to-month,Electronic check,812,61,873,Yes
6440-DKQGE,CH45,Male,2/8/1956,63,0,Yes,No,4,Yes,No,DSL,No,One year,Credit card (automatic),287,94,381,No
3466-BYAVD,MT69,Male,7/2/1976,42,0,Yes,Yes,12,Yes,No,DSL,Yes,Month-to-month,Mailed check,802,87,889,No
3780-YVMFA,FA34,Female,4/6/1966,53,0,Yes,Yes,3,Yes,No,DSL,Yes,Month-to-month,Electronic check,626,84,710,No
3874-EQOEP,FM67,Male,11/26/1981,37,0,No,No,28,Yes,Yes,Fiber optic,Yes,Month-to-month,Mailed check,938,87,1025,Yes
1679-JRFBR,LJ18,Female,8/30/1986,32,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,One year,Credit card (automatic),600,97,697,No
9073-ZZIAY,WD13,Male,12/13/1985,33,0,Yes,Yes,13,Yes,No,DSL,Yes,Two year,Electronic check,840,77,NA,No
3077-RSNTJ,LR40,Female,6/15/1964,55,0,Yes,Yes,37,Yes,No,No,No internet service,Month-to-month,Mailed check,929,99,1028,No
6551-GNYDG,RX29,Female,8/25/1981,37,0,Yes,Yes,38,Yes,No,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),686,57,743,No
9167-APMXZ,JK49,Female,10/15/1997,21,0,No,No,29,Yes,Yes,Fiber optic,No,Month-to-month,Bank transfer (automatic),856,73,929,No
2749-CTKAJ,TM50,Male,4/11/1984,35,0,Yes,Yes,14,Yes,No,No,No internet service,One year,Mailed check,639,71,710,No
6371-NZYEG,ZU55,Male,12/14/1983,35,0,Yes,Yes,33,Yes,No,DSL,No,Two year,Mailed check,490,96,586,No
7554-NEWDD,AJ22,Male,1/10/1957,62,0,No,No,28,NA,Yes,No,No internet service,Two year,Bank transfer (automatic),989,91,1080,No
8992-VONJD,OP18,Female,1/4/1965,54,0,Yes,No,34,Yes,No,DSL,No,Month-to-month,Electronic check,641,57,698,No
0867-MKZVY,MN20,Female,7/31/1987,31,0,No,Yes,34,Yes,Yes,Fiber optic,No,Month-to-month,Electronic check,986,62,1048,Yes
4482-EWFMI,JF47,Female,4/17/1997,22,0,No,No,11,Yes,No,Fiber optic,No,Month-to-month,Electronic check,279,57,336,No
4648-YPBTM,LC73,Male,12/14/1990,28,0,No,No,4,Yes,Yes,DSL,Yes,Two year,Bank transfer (automatic),968,73,1041,No
2907-ILJBN,YO14,Female,12/18/1971,47,0,Yes,Yes,6,Yes,No,No,No internet service,One year,Mailed check,683,69,752,No
6345-FZOQH,HB32,Male,11/24/1982,36,0,No,Yes,37,Yes,No,No,No internet service,Two year,Mailed check,558,85,643,No
3376-BMGFE,KW34,Female,8/9/1978,40,0,No,No,16,Yes,No,Fiber optic,No,Month-to-month,Bank transfer (automatic),927,85,1012,Yes
5997-OPVFA,BG67,Male,9/10/1992,26,0,No,Yes,27,Yes,Yes,DSL,Yes,Two year,Bank transfer (automatic),925,91,1016,No
3445-HXXGF,BW17,Male,10/19/1955,63,1,No,Yes,1,No,No phone service,DSL,Yes,Month-to-month,Electronic check,799,85,884,Yes
1159-WFSGR,QE21,Female,2/25/1985,34,0,Yes,Yes,22,Yes,No,No,No internet service,Month-to-month,Electronic check,891,69,960,No
7654-YWJUF,BM28,Male,8/31/1959,59,0,No,Yes,28,Yes,No,Fiber optic,No,One year,Bank transfer (automatic),216,65,281,No
1875-QIVME,BQ61,Female,8/10/1997,21,0,No,Yes,17,Yes,Yes,Fiber optic,Yes,Month-to-month,Electronic check,238,90,328,Yes
6727-IOTLZ,BD64,Male,7/9/1989,29,0,No,Yes,13,Yes,No,DSL,Yes,Two year,Mailed check,844,54,898,No
0691-JVSYA,TS82,Female,10/29/1999,19,0,No,Yes,4,Yes,No,Fiber optic,Yes,One year,Bank transfer (automatic),796,92,888,Yes
5918-VUKWP,NY79,Female,2/24/1997,22,0,No,No,19,Yes,No,No,No internet service,One year,Bank transfer (automatic),272,74,346,No
1744-JHKYS,IT11,Female,12/22/1984,34,0,No,Yes,37,Yes,Yes,No,No internet service,Month-to-month,Electronic check,408,86,494,No
2656-FMOKZ,WA92,Female,9/18/1955,63,1,No,No,40,Yes,Yes,Fiber optic,No,Month-to-month,Mailed check,387,100,487,Yes
2070-FNEXE,HR70,Female,9/18/1956,62,1,No,No,11,Yes,No,Fiber optic,No,Month-to-month,Bank transfer (automatic),991,97,1088,Yes
5947-SGKCL,MI81,Female,4/23/1986,33,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),736,100,836,No
3712-PKXZA,OF69,Male,4/26/1990,29,0,No,Yes,4,Yes,No,No,No internet service,One year,Credit card (automatic),654,78,732,No
6317-YPKDH,WU25,Female,5/23/1978,41,0,No,No,39,No,No phone service,DSL,No,Month-to-month,Bank transfer (automatic),715,59,774,Yes
6582-OIVSP,AN65,Female,11/5/1990,28,0,No,No,5,Yes,No,DSL,No,Month-to-month,Mailed check,296,78,374,No
9367-WXLCH,QP44,Male,8/30/1968,50,0,No,No,19,Yes,Yes,Fiber optic,Yes,Month-to-month,Bank transfer (automatic),694,82,776,Yes
5524-KHNJP,EI20,Male,3/10/1988,31,0,Yes,Yes,12,Yes,No,DSL,Yes,One year,Credit card (automatic),779,72,851,No
1918-ZBFQJ,MS67,Female,7/13/1994,24,0,No,No,24,Yes,No,Fiber optic,No,Month-to-month,Electronic check,969,96,1065,Yes
1024-GUALD,SY85,Female,1/21/1985,34,0,No,Yes,11,No,No phone service,DSL,No,Month-to-month,Electronic check,988,92,1080,Yes
4827-USJHP,SS16,Male,6/21/1975,43,0,No,No,34,Yes,No,DSL,No,Month-to-month,Mailed check,501,81,NA,No
8167-GJLRN,QK93,Male,11/23/1981,37,0,No,No,29,No,No phone service,DSL,No,Month-to-month,Electronic check,556,64,620,No
0956-SYCWG,AQ20,Female,7/7/1991,27,0,No,No,23,Yes,No,No,No internet service,One year,Electronic check,714,77,791,No
8017-UVSZU,OF64,Female,1/1/1986,33,0,No,Yes,12,Yes,Yes,DSL,No,Month-to-month,Credit card (automatic),898,90,988,No
7100-FQPRV,DR42,Male,12/5/1992,26,0,Yes,Yes,40,Yes,Yes,DSL,Yes,One year,Credit card (automatic),958,89,1047,No
